geneName,log2FoldChange
mnmE,-1.01290686
araD,-1.012550576
yheN,-1.012449095
msmX,-1.011360211
amyC,-1.009113976
obg,-1.009099503
swrC,-1.008807836
prkC,-1.008008313
nagR,-1.007811471
ycbN,-1.007763768
rsbW,-1.006616442
walH,-1.004709354
sfp,-1.001994402
ywcH,-1.001498557
znuB,-1.000166234
rtbI,-0.999681154
pepF,-0.999470098
rsbT,-0.998894828
dck,-0.996917669
mnmA,-0.996046424
lmrA,-0.995882155
flgC,-0.995447511
yubD,-0.995079142
yfmK,-0.995002363
gmuB,-0.994078705
recG,-0.991734452
yfjD,-0.99072524
yurR,-0.990104795
yvfS,-0.989232472
ywbD,-0.988067478
rlmN,-0.987380159
sdhC,-0.985387038
yqjF,-0.984937337
tyrS,-0.983830243
lytS,-0.983516075
yhaH,-0.983424788
lctP,-0.983246493
ugtP,-0.982988697
xkdU,-0.980434336
yqkB,-0.980293308
ydaT,-0.98021304
nagA,-0.979990952
rbn,-0.974369012
yhcX,-0.974318794
rny,-0.973842425
ftsX,-0.973174611
lonA,-0.972702718
mleN,-0.972700273
ypbD,-0.972442282
rsbV,-0.971957181
ywtE,-0.97097399
lytT,-0.970590868
yvfU,-0.970152394
ydbJ,-0.969721864
yloA,-0.968394266
ilvA,-0.967374847
spo0E,-0.966915302
BS3610_RS23545,-0.965768519
dfrA,-0.965587995
ganB,-0.964798379
gntP,-0.96352603
yesS,-0.962034295
tdh,-0.961915345
bmrA,-0.961573176
ywzG,-0.961116361
ybbR,-0.960311691
yqxC,-0.958796951
rocG,-0.958665812
ykuP,-0.957632864
yfiJ,-0.957375707
hemAT,-0.954924534
rsfS,-0.952944322
bkdAB,-0.952591821
yvrP,-0.952311206
trmF,-0.952034599
xtmB,-0.951615718
mmr,-0.951192909
lytC,-0.949484532
ycbU,-0.94901119
ywrC,-0.948728192
ypdQ,-0.944441452
ylbM,-0.944215342
lexA,-0.942722054
sigB,-0.941951828
gatB,-0.941802051
pyk,-0.941403738
uvrX,-0.939865684
smc,-0.939397295
ywrO,-0.938336222
mdxE,-0.938099249
yabM,-0.937674796
glmM,-0.937218899
sftA,-0.935959362
serS,-0.935414831
hxlB,-0.933906893
yhjB,-0.932637781
yfjP,-0.929518181
ytrB,-0.929404914
ywbO,-0.929326535
yhdP,-0.926451888
proA,-0.926290055
yycS,-0.92614875
ytnA,-0.922762238
rhaA,-0.922147228
ywtF,-0.921941061
yqkC,-0.921835906
yhcJ,-0.920788205
yrkE,-0.91980353
galK,-0.91966867
yjkB,-0.918675132
yusT,-0.915141972
nagBA,-0.914269159
lepA,-0.913607372
tagH,-0.910945255
ftsE,-0.91016683
deaD,-0.908915689
tenI,-0.908870256
gcvPA,-0.906286008
appF,-0.905604887
yweA,-0.903700351
gpsA,-0.903502442
speE,-0.903426313
fadE,-0.903133889
yczJ,-0.902450035
yhaZ,-0.901849037
yaaI,-0.90135337
ylxL,-0.900966224
yfiK,-0.900719398
nnrA,-0.900078503
ribC,-0.899917302
mdxF,-0.899251118
yunE,-0.898874193
acuC,-0.897878937
dxs,-0.897656398
yjiB,-0.896698774
comZ,-0.896520233
rsbP,-0.896312065
yrhO,-0.894855642
xkdF,-0.894698337
uvrC,-0.891982164
lrgA,-0.89007204
abnA,-0.888776069
yfkJ,-0.888696026
yobU,-0.887786391
xkdG,-0.887687877
rapB,-0.887075082
pheT,-0.886984504
xkdX,-0.8862994
thyB,-0.885962151
oppC,-0.885666534
